CaseReference,CaseNodeId,DocumentID,DocumentReferenceNumber,WebsiteDateOverride,Publish,DocumentType,Comment
S62A/2014/0001,16780598,16823717,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823718,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823719,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823720,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823721,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823722,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823723,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823724,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823725,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823726,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823727,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823728,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823729,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823730,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823731,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823732,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823733,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823734,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823735,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823938,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823939,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823940,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823941,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823942,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823943,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823944,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823945,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823946,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823947,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823948,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823949,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823950,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823951,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823952,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823953,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823954,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823955,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823956,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823957,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823958,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823959,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823960,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823961,NULL,NULL,Ready,NULL,NULL
S62A/2014/0001,16780598,16823962,NULL,NULL,Ready,NULL,NULL
S62A/2014/0001,16780598,16823963,NULL,NULL,Ready,NULL,NULL
S62A/2014/0001,16780598,16872461,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16872506,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16872668,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16872721,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16872783,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16872786,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16872795,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16872807,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16872841,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16872845,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16872989,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16873022,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16873061,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16873104,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16873227,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16873276,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16873348,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16873437,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16873747,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16876391,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16876686,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16876726,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16876814,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16876918,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16877610,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16877716,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16877810,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16877930,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16878215,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16878216,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16878224,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16878233,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16878323,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16878331,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16878338,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16878529,NULL,NULL,Published,NULL,NULL
S62A/2015/0002,16784769,16784769,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784771,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784772,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784773,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784774,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784775,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784776,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784777,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784778,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784779,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784780,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784781,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784782,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784783,NULL,NULL,Not Published,NULL,NULL
S62A/2015/0002,16784769,16784784,NULL,NULL,Not Published,NULL,NULL
